date,Like Count,View Count,Engagement Score
2022-12-20,141,47777.0,0.0004399604742343151
2022-12-22,537,181856.0,0.000441635440323232
2022-12-26,66,50764.0,-0.0012111164062352413
2022-12-27,104,45942.0,-0.0002475265337371535
2022-12-29,174,59265.0,0.00042471521890417993
2022-12-30,94,45968.0,-0.00046634955887351
2022-12-31,246,115429.0,-0.0003800701534163323
2023-01-03,275,121701.0,-0.0002516140376253393
2023-01-09,76,40442.0,-0.0006320159002048615
2023-01-10,79,35833.0,-0.00030657868806603433
2023-01-11,101,39546.0,4.273740165793363e-05
2023-01-12,133,45325.0,0.00042311257493251545
2023-01-20,282,83238.0,0.000876625370404512
2023-01-31,172,64801.0,0.0001430296671123812
2023-02-01,140,37955.0,0.0011773282204668276
2023-02-06,111,38494.0,0.00037231591063764365
2023-02-07,76,33163.0,-0.0002195397180529803
2023-02-21,199,65361.0,0.0005333787007124795
2023-02-28,51,26174.0,-0.0005627518494586913
2023-03-01,82,34174.0,-0.0001117653708426038
2023-03-02,161,53906.0,0.000475430158508215
2023-03-06,86,43144.0,-0.0005179256792894956
2023-03-07,120,40351.0,0.00046265363303569064
2023-03-13,411,103371.0,0.0014647196901966522
2023-03-15,63,38940.0,-0.0008933767076584622
2023-03-16,230,113634.0,-0.0004872082593547376
2023-03-17,153,59036.0,8.038864050182587e-05
2023-03-18,99,46857.0,-0.0003984390398837131
2023-03-20,101,40456.0,-1.4710909163462207e-05
2023-03-21,265,97771.0,0.0001991647943472858
2023-03-23,100,43994.0,-0.00023821312708055325
2023-03-27,211,50513.0,0.0016658921583372847
2023-04-04,119,53154.0,-0.0002724724687730839
2023-04-05,101,56914.0,-0.0007366430571849258
2023-04-10,95,56311.0,-0.0008241909926992297
2023-04-12,87,41588.0,-0.0004193007585840212
2023-04-13,126,49882.0,1.471090916346264e-05
2023-04-21,170,80130.0,-0.00038969788220590907
2023-04-25,106,44803.0,-0.00014533736253288972
2023-04-26,102,37578.0,0.00020310378395134703
2023-04-28,86,33788.0,3.4031989332455274e-05
2023-05-04,35,4402.0,0.005439681035390116
2023-05-05,63,37553.0,-0.0008336214083479489
2023-05-10,107,37591.0,0.00033517564679447524
2023-05-11,108,39507.0,0.0002224424038773493
2023-05-12,64,38003.0,-0.0008271727866072209
2023-05-17,286,90477.0,0.0006497739892990925
2023-05-18,117,38674.0,0.0005140379479595587
