date,Like Count,View Count,Engagement Score
2023-05-05,28707,3788236.0,0.0017316677330644912
2023-05-06,37830,5831101.0,0.000641359941264557
2023-05-07,13380,2000173.0,0.0008431557275449921
2023-05-08,31466,4068185.0,0.0018883875309207588
2023-05-09,42003,9575331.0,-0.0014596809857596437
2023-05-10,38418,6929720.0,-0.0003023186959277618
2023-05-11,52175,8787741.0,9.098262686499381e-05
2023-05-12,50304,6415096.0,0.0019952382152803073
2023-05-13,18537,3170742.0,0.0
2023-05-14,8806,1627477.0,-0.0004354364829320884
2023-05-15,38634,7055859.0,-0.00037081608558136095
2023-05-16,23643,4251058.0,-0.00028459134371936097
2023-05-17,64147,20212110.0,-0.0026725742218160404
2023-05-18,62594,6731638.0,0.0034522141678539637
2023-05-19,8839,1938844.0,-0.0012873635288277382
